iter	Passed	Remaining
406	5488	7997
407	5500	7981
408	5513	7966
409	5526	7952
410	5537	7935
411	5549	7920
412	5561	7904
413	5575	7892
414	5589	7879
415	5602	7865
416	5614	7848
417	5626	7833
418	5637	7817
419	5656	7811
420	5673	7802
421	5687	7790
422	5702	7777
423	5715	7764
424	5730	7752
425	5742	7737
426	5754	7722
427	5766	7705
428	5778	7691
429	5791	7677
430	5805	7663
431	5818	7650
432	5831	7636
433	5843	7621
434	5856	7606
435	5870	7593
436	5882	7579
437	5895	7565
438	5909	7551
439	5921	7536
440	5934	7522
441	5946	7507
442	5963	7497
443	5976	7484
444	5989	7470
445	6002	7455
446	6016	7442
447	6027	7427
448	6038	7410
449	6052	7396
450	6064	7382
451	6077	7367
452	6090	7353
453	6101	7338
454	6115	7325
455	6128	7311
456	6140	7295
457	6151	7279
458	6163	7265
459	6174	7248
460	6187	7234
461	6199	7219
462	6212	7205
463	6225	7191
464	6237	7175
465	6248	7159
466	6261	7146
467	6273	7131
468	6285	7116
469	6297	7101
470	6310	7087
471	6323	7073
472	6336	7059
473	6349	7046
474	6362	7032
475	6374	7017
476	6386	7002
477	6398	6987
478	6411	6973
479	6467	7006
480	6495	7008
481	6512	6999
482	6526	6985
483	6540	6973
484	6553	6958
485	6566	6944
486	6580	6931
487	6592	6917
488	6605	6902
489	6616	6887
490	6629	6872
491	6643	6859
492	6655	6844
493	6668	6830
494	6680	6815
495	6691	6799
496	6704	6785
497	6717	6771
498	6729	6756
499	6744	6744
500	6757	6730
501	6769	6715
502	6781	6701
503	6794	6686
504	6807	6672
505	6820	6658
506	6832	6644
507	6846	6630
508	6860	6618
509	6873	6604
510	6885	6588
511	6897	6574
512	6909	6559
513	6921	6544
514	6934	6530
515	6948	6517
516	6962	6504
517	6974	6489
518	6990	6478
519	7003	6465
520	7016	6450
521	7030	6437
522	7043	6424
523	7057	6410
524	7070	6397
525	7083	6383
526	7095	6368
527	7107	6353
528	7120	6340
529	7133	6325
530	7144	6310
531	7157	6296
532	7171	6283
533	7185	6270
534	7199	6257
535	7212	6243
536	7226	6230
537	7238	6215
538	7250	6201
539	7262	6186
540	7274	6172
541	7287	6157
542	7299	6143
543	7311	6128
544	7322	6113
545	7336	6100
546	7349	6086
547	7363	6073
548	7375	6059
549	7387	6044
550	7400	6030
551	7413	6017
552	7426	6003
553	7438	5988
554	7449	5973
555	7460	5958
556	7473	5943
557	7486	5930
558	7501	5917
559	7513	5903
560	7525	5888
561	7538	5875
562	7550	5860
563	7562	5846
564	7576	5833
565	7589	5819
566	7601	5804
567	7612	5789
568	7624	5775
569	7637	5761
570	7649	5747
571	7663	5733
572	7676	5720
573	7688	5706
574	7702	5692
575	7714	5679
576	7728	5665
577	7741	5652
578	7754	5638
579	7767	5625
580	7781	5612
581	7796	5599
582	7809	5585
583	7821	5571
584	7833	5557
585	7847	5544
586	7861	5531
587	7874	5517
588	7889	5505
589	7901	5490
590	7915	5477
591	7928	5464
592	7942	5451
593	7957	5439
594	7970	5425
595	7987	5414
596	8001	5401
597	8014	5387
598	8026	5373
599	8038	5358
600	8053	5346
601	8067	5333
602	8080	5320
603	8094	5306
604	8106	5292
605	8118	5278
606	8132	5265
607	8145	5251
608	8157	5237
609	8169	5223
610	8182	5209
611	8195	5196
612	8209	5182
613	8221	5168
614	8234	5154
615	8247	5141
616	8258	5126
617	8270	5111
618	8282	5098
619	8295	5084
620	8309	5071
621	8321	5057
622	8332	5042
623	8345	5028
624	8358	5015
625	8371	5001
626	8383	4987
627	8395	4972
628	8407	4958
629	8420	4945
630	8432	4931
631	8445	4917
632	8457	4903
633	8469	4889
634	8482	4875
635	8495	4862
636	8509	4849
637	8523	4835
638	8535	4821
639	8548	4808
640	8560	4794
641	8571	4779
642	8584	4766
643	8596	4751
644	8607	4737
645	8620	4724
646	8633	4710
647	8646	4696
648	8657	4682
649	8668	4667
650	8681	4653
651	8693	4640
652	8705	4626
653	8716	4611
654	8728	4597
655	8741	4584
656	8756	4571
657	8768	4557
658	8782	4544
659	8797	4531
660	8808	4517
661	8819	4503
662	8831	4488
663	8845	4475
664	8860	4463
665	8873	4449
666	8886	4436
667	8899	4423
668	8911	4409
669	8925	4395
670	8937	4381
671	8949	4368
672	8963	4355
673	8976	4341
674	8987	4327
675	9002	4314
676	9015	4301
677	9028	4287
678	9041	4274
679	9053	4260
680	9065	4246
681	9077	4232
682	9090	4219
683	9103	4205
684	9115	4191
685	9127	4178
686	9139	4163
687	9151	4149
688	9162	4135
689	9177	4123
690	9189	4109
691	9202	4095
692	9217	4083
693	9229	4069
694	9243	4056
695	9256	4043
696	9270	4030
697	9282	4016
698	9293	4002
699	9307	3988
700	9318	3974
701	9331	3961
702	9344	3947
703	9356	3933
704	9370	3920
705	9384	3908
706	9398	3894
707	9411	3881
708	9425	3868
709	9437	3854
710	9448	3840
711	9461	3827
712	9473	3813
713	9487	3800
714	9500	3786
