iter	RMSE
204	1788.811077
205	1788.256506
206	1787.740186
207	1787.037001
208	1786.582156
209	1786.1892
210	1785.419219
211	1784.837863
212	1784.540385
213	1784.190338
214	1783.798889
215	1783.255082
216	1782.986939
217	1782.023236
218	1781.343751
219	1780.668879
220	1780.433582
221	1779.937939
222	1779.339318
223	1778.770646
224	1778.252235
225	1777.744333
226	1777.238329
227	1776.75297
228	1776.169958
229	1775.600162
230	1775.139721
231	1774.649274
232	1773.744608
233	1773.006791
234	1772.768313
235	1772.424455
236	1771.775806
237	1771.264237
238	1770.845114
239	1770.329475
240	1769.868028
241	1769.24376
242	1768.933619
243	1768.282823
244	1767.736122
245	1767.337806
246	1766.751877
247	1766.107534
248	1765.72213
249	1765.083079
250	1764.790193
251	1764.180819
252	1763.595475
253	1763.334219
254	1762.799833
255	1762.66758
256	1762.435661
257	1762.034522
258	1761.889439
259	1761.330107
260	1760.907991
261	1760.630773
262	1760.282791
263	1759.885351
264	1759.301446
265	1758.943348
266	1758.702271
267	1757.890715
268	1757.36957
269	1756.763106
270	1756.122543
271	1755.794138
272	1755.388809
273	1754.707655
274	1754.148456
275	1753.485306
276	1753.25316
277	1753.116217
278	1752.671649
279	1752.520709
280	1752.217325
281	1751.7745
282	1751.345482
283	1750.915486
284	1750.380443
285	1749.89346
286	1749.369222
287	1748.692651
288	1748.476482
289	1748.19281
290	1747.823802
291	1747.504546
292	1747.267259
293	1746.916587
294	1746.584864
295	1746.330118
296	1745.758833
297	1745.387973
298	1744.955871
299	1744.660248
300	1744.321332
301	1743.996884
302	1743.679736
303	1743.205361
304	1742.834009
305	1742.374033
306	1741.804927
307	1741.404372
308	1740.779323
309	1740.561673
310	1740.144569
311	1739.654967
312	1739.288123
313	1738.959305
314	1738.72846
315	1738.526024
316	1738.31957
317	1737.900584
318	1737.540005
319	1737.330402
320	1737.149116
321	1736.855052
322	1736.410108
323	1736.202917
324	1735.60836
325	1735.391647
326	1734.946408
327	1734.611788
328	1733.982557
329	1733.721941
330	1733.350061
331	1733.073221
332	1732.722063
333	1732.131336
334	1731.644613
335	1731.410822
336	1731.19841
337	1730.787518
338	1730.486817
339	1730.139719
340	1729.762644
341	1729.497362
342	1729.37492
343	1729.191452
344	1728.936128
345	1728.257809
346	1727.867296
347	1727.576612
348	1727.270633
349	1726.978814
350	1726.740875
351	1726.391833
352	1725.985317
353	1725.625754
354	1725.202292
355	1724.928785
356	1724.482944
357	1724.263284
358	1723.92387
359	1723.717173
360	1723.18186
361	1722.851881
362	1722.504654
363	1722.065709
364	1721.784397
365	1721.410238
366	1721.079963
367	1720.72519
368	1720.440702
369	1720.214498
370	1719.822847
371	1719.560396
372	1719.214291
373	1718.905743
374	1718.497308
375	1718.189531
376	1717.9734
377	1717.497695
378	1717.182183
379	1716.872149
380	1716.677655
381	1716.423042
382	1716.161165
383	1715.928144
384	1715.32367
385	1715.135832
386	1714.880916
387	1714.696345
388	1714.534367
389	1714.236835
390	1714.00069
391	1713.68637
392	1713.494248
393	1713.101763
394	1712.831933
395	1712.540444
396	1712.221273
397	1711.837998
398	1711.461027
399	1711.309718
400	1711.070042
401	1710.912254
402	1710.723588
403	1710.442124
404	1710.120534
405	1709.863923
406	1709.641753
407	1709.231132
408	1709.036164
409	1708.837781
410	1708.685102
411	1708.487765
412	1708.186044
413	1707.915226
414	1707.537816
415	1707.235429
416	1706.92989
417	1706.686964
418	1706.533587
419	1706.243611
420	1705.857761
421	1705.511395
422	1705.143644
423	1704.818854
424	1704.52739
425	1704.313105
426	1704.022535
427	1703.835542
428	1703.64205
429	1703.395561
430	1703.154626
431	1702.790867
432	1702.453863
433	1702.297012
434	1701.929363
435	1701.694948
436	1701.37483
437	1701.212693
438	1700.921984
439	1700.78903
440	1700.553647
441	1700.368001
442	1700.125359
443	1699.944218
444	1699.782162
445	1699.559594
446	1699.359023
447	1699.133426
448	1698.905159
449	1698.624874
450	1698.377024
451	1698.075032
452	1697.726427
453	1697.52272
454	1697.03002
455	1696.748698
456	1696.518297
457	1696.387316
458	1696.134499
459	1696.029638
460	1695.828253
461	1695.684211
462	1695.45411
463	1695.307807
464	1695.052279
465	1694.854667
466	1694.696845
467	1694.58477
468	1694.360287
469	1694.0709
470	1693.806352
471	1693.56285
472	1693.391228
473	1693.011293
474	1692.842377
475	1692.6451
476	1692.456026
477	1692.29505
478	1692.01679
479	1691.576726
480	1691.34451
481	1690.943083
482	1690.41321
483	1690.161153
484	1690.025685
485	1689.774515
486	1689.470094
487	1689.317574
488	1689.229223
489	1689.068519
490	1688.870034
491	1688.530951
492	1688.421018
493	1688.230021
494	1688.049282
495	1687.876476
496	1687.71235
497	1687.293801
498	1687.086229
499	1686.710965
500	1686.539838
501	1686.389597
502	1686.188262
503	1685.866288
504	1685.424246
505	1685.163924
506	1684.94731
507	1684.673449
508	1684.501219
509	1684.316215
510	1684.198311
511	1684.009287
512	1683.687912
513	1683.425678
514	1683.122578
515	1682.761801
516	1682.510647
517	1682.387887
518	1682.153146
519	1681.881552
520	1681.679518
521	1681.475993
522	1681.20303
523	1680.973793
524	1680.699116
525	1680.505946
526	1680.356258
527	1680.06988
528	1679.831985
529	1679.669516
530	1679.600943
531	1679.397688
532	1679.107197
533	1678.918269
534	1678.786052
535	1678.652153
536	1678.428531
537	1678.335062
538	1678.210756
539	1677.850481
540	1677.627834
541	1677.511496
542	1677.302938
543	1677.204524
544	1676.929498
545	1676.771098
546	1676.544914
547	1676.341518
548	1676.17491
549	1676.025436
550	1675.834607
551	1675.554179
552	1675.213764
553	1674.914555
554	1674.801783
555	1674.663662
556	1674.488327
557	1674.344166
558	1674.006221
559	1673.89028
560	1673.607425
561	1673.344245
562	1673.185302
563	1673.07479
564	1672.736232
565	1672.543743
566	1672.409059
567	1672.345266
568	1672.113428
569	1671.97967
570	1671.755979
571	1671.501415
572	1671.329035
573	1671.139864
574	1670.869318
575	1670.762894
576	1670.55984
577	1670.26896
578	1670.033994
579	1669.863402
580	1669.720637
581	1669.410982
582	1669.200888
583	1669.095882
584	1668.873736
585	1668.638454
586	1668.454403
587	1668.192278
588	1667.633869
589	1667.376792
590	1667.128167
591	1666.965226
592	1666.816558
593	1666.631558
594	1666.550249
595	1666.31638
596	1666.204951
597	1665.998559
598	1665.797381
599	1665.719904
600	1665.460317
601	1665.180401
602	1664.985812
603	1664.801654
604	1664.602018
605	1664.394957
606	1664.156965
607	1663.965271
608	1663.862104
609	1663.687486
610	1663.59949
611	1663.393214
612	1663.23896
613	1663.014789
614	1662.810888
615	1662.600698
616	1662.381911
617	1662.276559
618	1662.162279
619	1662.045584
620	1661.788239
621	1661.636269
622	1661.475126
623	1661.22248
624	1661.059521
625	1660.926467
626	1660.826871
627	1660.697799
628	1660.504856
629	1660.234816
630	1660.137392
631	1659.90586
632	1659.757786
633	1659.5118
634	1659.320726
635	1659.093722
636	1658.739419
637	1658.527279
638	1658.393936
639	1658.166575
640	1657.993988
641	1657.905256
642	1657.688917
643	1657.620923
644	1657.536884
645	1657.338746
646	1657.196162
647	1657.044888
648	1656.912457
649	1656.818041
650	1656.623649
651	1656.484241
652	1656.395465
653	1656.30756
654	1656.079007
655	1655.618718
656	1655.414512
657	1655.287229
658	1655.155268
659	1654.999935
660	1654.814519
661	1654.637439
662	1654.504585
663	1654.386831
664	1654.125935
665	1653.866165
666	1653.712999
667	1653.526562
668	1653.318941
669	1653.14277
670	1652.962016
671	1652.762177
672	1652.47172
673	1652.33946
674	1652.190213
675	1651.941489
676	1651.724936
677	1651.5682
678	1651.392296
679	1651.279153
680	1651.12397
681	1650.943762
682	1650.737976
683	1650.552842
684	1650.41359
685	1650.201002
686	1650.048031
687	1649.968182
688	1649.799707
689	1649.650222
690	1649.518775
691	1649.406799
692	1649.173699
693	1649.053159
694	1648.932966
695	1648.72081
696	1648.487384
697	1648.347976
698	1648.193963
699	1647.941297
700	1647.846943
701	1647.742404
702	1647.635724
703	1647.369587
704	1647.294159
705	1647.085269
706	1646.910523
707	1646.759134
708	1646.558734
709	1646.396589
710	1646.294722
711	1646.035424
712	1645.872383
713	1645.729357
714	1645.519751
715	1645.330101
716	1645.190161
717	1645.075148
718	1644.967986
719	1644.754929
720	1644.538074
721	1644.339814
722	1644.248548
723	1644.077977
724	1644.016125
725	1643.871902
726	1643.653938
727	1643.486757
728	1643.306891
729	1643.105227
730	1642.884674
731	1642.746828
732	1642.583278
733	1642.481567
734	1642.303398
735	1642.19236
736	1641.961258
737	1641.856508
738	1641.645821
739	1641.430684
740	1641.184888
741	1641.067135
742	1640.999848
743	1640.796366
744	1640.58899
745	1640.457932
746	1640.343875
747	1640.104267
748	1639.994641
749	1639.869857
750	1639.655638
751	1639.527023
752	1639.414396
753	1639.346101
754	1639.169959
755	1639.005576
756	1638.646043
757	1638.455888
758	1638.338254
759	1638.186961
760	1637.976223
761	1637.846086
762	1637.735923
763	1637.512169
764	1637.329509
765	1637.208193
766	1637.058935
767	1636.879987
768	1636.804523
769	1636.612382
770	1636.339959
771	1636.125959
772	1635.9542
773	1635.753314
774	1635.638693
775	1635.508982
776	1635.402995
777	1635.287732
778	1635.131887
779	1635.000348
780	1634.88069
781	1634.692314
782	1634.465246
783	1634.315887
784	1634.126404
785	1634.026027
786	1633.940564
787	1633.744496
788	1633.555372
789	1633.447424
790	1633.304834
791	1633.214879
792	1633.073479
793	1632.890534
794	1632.737192
795	1632.577533
796	1632.387811
797	1632.284729
798	1632.140586
799	1631.836252
800	1631.623096
801	1631.463747
802	1631.276545
803	1631.165548
804	1630.993603
805	1630.849159
806	1630.745163
807	1630.543696
808	1630.474557
809	1630.310692
810	1630.222567
811	1630.10397
812	1629.961104
813	1629.766132
814	1629.672924
815	1629.576021
816	1629.452788
817	1629.334784
818	1629.191786
819	1629.069678
820	1628.891913
821	1628.782492
822	1628.738881
823	1628.585676
824	1628.48403
825	1628.288417
826	1628.194163
827	1628.007043
828	1627.849077
829	1627.7629
830	1627.627817
831	1627.502334
832	1627.21471
833	1627.107373
834	1626.945669
835	1626.779103
836	1626.611181
837	1626.468092
838	1626.288488
839	1626.092602
840	1625.967747
841	1625.882888
842	1625.764166
843	1625.594131
844	1625.390618
845	1625.204442
846	1624.979044
847	1624.757338
848	1624.463678
849	1624.326027
850	1624.186216
851	1624.024231
852	1623.815027
853	1623.697455
854	1623.544948
855	1623.39926
856	1623.250147
857	1623.132868
858	1623.009047
859	1622.931
860	1622.790681
861	1622.613137
862	1622.494392
863	1622.321289
864	1622.212171
865	1622.124988
866	1622.016237
867	1621.869191
868	1621.723859
869	1621.570921
870	1621.463469
871	1621.371713
872	1621.153926
873	1621.014388
874	1620.896893
875	1620.781173
876	1620.646167
877	1620.463804
878	1620.28132
879	1620.136365
880	1619.941451
881	1619.829101
882	1619.67067
883	1619.550733
884	1619.458967
885	1619.297365
886	1619.20198
887	1619.073427
888	1618.928254
889	1618.72763
890	1618.638502
891	1618.539767
892	1618.464762
893	1618.092577
894	1617.964421
895	1617.788523
896	1617.653333
897	1617.484442
898	1617.327386
899	1617.202593
900	1617.066306
901	1616.93952
902	1616.797969
903	1616.61705
904	1616.379416
905	1616.194053
906	1616.081672
907	1615.991489
908	1615.858253
909	1615.759825
910	1615.642701
911	1615.522497
912	1615.395437
913	1615.251286
914	1615.09741
915	1615.016784
916	1614.92826
917	1614.850168
918	1614.777763
919	1614.681061
920	1614.60067
921	1614.489207
922	1614.397809
923	1614.328306
924	1614.153474
925	1614.030529
926	1613.955916
927	1613.854972
928	1613.720045
929	1613.62143
930	1613.522661
931	1613.441462
932	1613.27757
933	1613.155289
934	1613.06732
935	1612.968891
936	1612.862573
937	1612.713503
938	1612.606951
939	1612.561002
940	1612.450562
941	1612.321567
942	1612.175706
943	1612.057052
944	1611.834265
945	1611.706847
946	1611.502592
947	1611.319517
948	1611.212898
949	1611.116781
950	1610.963197
951	1610.74906
952	1610.617834
953	1610.475449
954	1610.300803
955	1610.065715
956	1609.944571
957	1609.80936
958	1609.672135
959	1609.530591
960	1609.400136
961	1609.272729
962	1609.119873
963	1608.964854
964	1608.864365
965	1608.656778
966	1608.562927
967	1608.430278
968	1608.342047
969	1608.301472
970	1608.20658
971	1608.047792
972	1607.94428
973	1607.815173
974	1607.686651
975	1607.573259
976	1607.508415
977	1607.329942
978	1607.139371
979	1607.015307
980	1606.909355
981	1606.747087
982	1606.648917
983	1606.53275
984	1606.430501
985	1606.35697
986	1606.251345
987	1606.142285
988	1605.96333
989	1605.818773
990	1605.657978
991	1605.549289
992	1605.501679
993	1605.394325
994	1605.271648
995	1605.181277
996	1605.088506
997	1604.91251
998	1604.665612
999	1604.55335
